B4,B3,B2,B5,B8,yield
38.56,1829,1887,2154,3012,4.8775
28.5,1908.5,1929,2256.5,2820,4.88
2882,2432,2349.5,3105.5,3686,4.93875
26.685,2520.5,2396.5,3303,3904,4.95375
38.9,1871,1951.5,2199.5,2907,4.96125
2399.5,2145.5,2161.5,2616.5,3240,4.99
2063,1931,1948.5,2288.5,2876.5,5.055
2138.5,1925.5,1953.5,2367.5,3008,5.175
2057.5,1884.5,1943,2284.5,2826,5.26249999999999
35.455,1935.5,1945.5,2317.5,2723.5,5.36
1811,1818,1899,2092,3181,5.385
2776.5,2376.5,2295,3045.5,3889,5.41
2025,1842,1896.5,2208.5,2624,5.4375
2085.5,1896,1937.5,2267.5,2774.5,5.4425
35.145,1797,1876,2142.5,2596,5.49875
28.5,1908.5,1929,2256.5,2820,5.5275
28.925,1831,1905,2251.5,2754,5.64
32.3,1872,1956,2287,2816,5.6575
29.895,1810.5,1878,2168.5,2620.5,5.88375
29.34,1793,1871,2105,2520,6.085
2381,2126,2144,2505,2981,6.15375
34.8,1825,1899,2078,2730,6.34375
43.345,1832.5,1923.5,2152.5,2925,6.53125
2176,2021,2056,2473,3189,0.659375
1946,1819,1917,2152,2752,3.17
2116.5,1934.5,1978.5,2350.5,3309.5,3.575
1936,1964,2004,2293,3261,3.76
1955,1840,1923,2234,2850,2.18875
2121,2024,2026,2441,3193,4.22125
2137,1940,1978,2355,3035,4.7075
34.295,1857,1936,2168,2763,5.67625
1961,1868,1945,2191,2725,6.5075
1951,1864,1929,2193,2893,5.58375
1973,1881,1946.5,2192,2977,1.06875
28.52,1910,1975,2292,3091,5.6975
1996,1909,1970,2233,2963,5.71875
2376.5,1968.5,1994,2545.5,3050.5,7.64375
2295.5,2069.5,2091,2490,3223,2.7625
1815,1776,1892,2021,2444,1.46
2392,2082,2075,2595,3351,2.26625
2155,2052,2067,2429,3223,6.13875
2175,2007.5,2030.5,2402,3191.5,1.250625
2232,2015,2032,2558,3309,2.414375
1869,1933,1983,2226,3128,4.84375
2181,1993.5,2041,2419.5,3106.5,4.62875
12.48,1948,1970,2386,3098,5.95125
34.495,1868,1939,2204,2845,6.145
1984,1937,1998,2246,3028,6.4825
2089,1888,1952,2321,2937,2.195625
21.97,1728,1847,1935,2461,4.0625
11.23,1874,1974,2144,2908,2.140625
2215,2044,2059,2439,3127,5.16875
2167,1998,2042,2359,3023,7.52875
2175.5,1936,1988,2359,2974,0.87
1898,1877,1961,2202,3035,4.00125
22.28,1912,1938,2342,3056,4.605
2086,1956,2026,2343,3049,6.4525
1958,1875.5,1944,2173,2851.5,0.3925
2140,1949,1987,2415,3147,6.31125
1898,1877,1961,2202,3035,4.9775
1825,1904,1967,2175,3119,3.33
2019,1926,1968,2235,2835,5.4525
1832,1878,1945,2115,2877,5.87625
28.525,1856,1916,2233,2944,5.6725
25.29,1822,1913.5,2105,2767.5,4.7725
2087,2059,2068,2461,3513,4.82875
2541,2204,2169,2801,3576,3.735
2255,2024,2028,2483,3049,2.4925
2068,2056,2027,2432,3263,4.69375
1887,1819,1906,2163,2839,4.4625
12.48,1948,1970,2386,3098,6.49625
2289,2090,2112,2523,3246,6.24875
1858,1869,1957,2165,2927,7.49125
1889,1878,1961,2231,3032,4.65125
0,1989,2020,2414,3047,2.485625
2094,1966,2006,2333,2919,4.49375
1959.5,1910,1959,2292.5,3348.5,8.83375
1922,1911,1974,2195,2963,2.14125
1866,1843,1906,2120,3079.5,3.15
12.3,2082,2083,2460,3246,2.51875
2215,2044,2059,2439,3127,5.95375
1806,1815,1920,2023,2780,4.005
2285,1990.5,2031.5,2505,3204.5,6.11625
40.375,1872,1936,2102,2759,8.065
1727,1789.5,1896.5,1985,2763.5,1.769375
2071.5,1914.5,1982.5,2278,2944.5,3.26375
2199,2050,2071,2426,3120,1.68
1856,1868.5,1944.5,2134.5,2806.5,2.474375
2290.5,2022.5,2047.5,2501,3171,1.12125
1944,1875,1949,2194,2986,1.594375
2010,1933,2002,2238,2935,2.9525
2392,2082,2075,2595,3351,1.369375
1852,1927,1973,2168,3072,8.48125
2181,1980,2028,2382,2954,5.16
2254,2043,2062.5,2495.5,3257.5,6.6375
2118,2015,2057,2351,3012,5.005
2085,1915,1991,2353,2964,5.97375
2105,2037.5,2107.5,2329,3092.5,1.196875
1984,1937,1998,2246,3028,2.551875
2036,1963,2030,2286,2912,1.428125
2280,2055,2088,2550,3363,1.308125
2425.5,2148,2143,2642,3325.5,3.02125
1954,1896,1968,2237,2961,1.734375
2169,2025,2047,2416,3216,1.924375
1973,1909,1975,2212.5,3156,2.92375
2291,2068,2114,2543,3220,1.1775
2455,2103,2099,2670.5,3407.5,0.1025
2354.5,2067.5,2096,2566,3201.5,0.61125
2523,2161,2151,2692,3292,0.461875
2248,2006,2063,2415,2986,0.514375
2128.5,1930.5,2009.5,2324.5,2822,0.855
2182,1939,2028,2311,2740,0.770625
2459,2216,2235,2665,3165,0.775
8.61,2081,2131,2501,3311,1.534375
2266,2026,2082,2419,3159,1.26
1969,1921,2000.5,2197,2906.5,1.30375
1998,1928,2036,2188,2862,6.895
2351,2075,2117,2554,3338,0.811375
2378,2093,2121,2571,3288,0.1375
2346,2084,2097,2572,3350,0.191875
2402,2150,2180,2562,3240,2.554375
2367,2147,2173,2600,3293,0.5125
2086,1922.5,2018,2254,2738,0.479375
2351,2075,2117,2554,3338,0.548375
2315,2119,2160,2496,3045,1.10125
6.49,1979,2059,2397,3082,0.69775
2374,2123,2148,2557,3226,0.926875
1869,1844,1974,2040,2697,2.514375
4.49,1919,2007,2247,2903,0.646875
2453,2169,2162,2619,3221,0.449375
2070,1902,2011,2253,2916,0.91375
2032,1918,2013,2197,2803,1.47875
2203.5,2019.5,2086,2416,3116,0.28
2020,1933,2012,2258,3130,0.154625
2362,2081,2130,2559,3236,1.319375
2250,2016,2093,2454,3055,2.175625
2230,2042,2091,2404,3089,0.673125
3.15,2149,2177,2579.5,3151,0.73375
2644,2263,2253,2806,3414,1.064375
2169,2007,2067,2410,3039,0.681875
2074.5,1933,2006.5,2273.5,3076,0.196875
3.61,2026.5,2072.5,2459.5,3200,0.558125
1796,1807.5,1944.5,2093.5,2987,1.074375
2215.5,1994.5,2046,2405,3090.5,0.326875
2345,2099,2121,2510,3273,0.081875
2218,2035,2087,2423.5,3059,0.79
2095,1972,2005.5,2361.5,3289.5,0.275625
2222,2034,2054,2486,3476,1.178125
2222.5,2054,2091.5,2457.5,3229,1.41125
2379,2103,2097,2622,3358,0.480625
2198,2059,2141,2382,3172,0.750625
2391,2111,2137,2567,3161,0.173125
2422,2129,2158,2614,3244,4.1375
2200,2000,2027,2481,3637,1.141875
2301,2088,2116,2505,3306,0.393125
2315,2033,2072,2472,3081,1.04375
9.25,2123,2131,2599,3443,1.516875
2.43,2019,2065.5,2402.5,3104.5,0.423125
1971,1915,2012,2222,3124,0.51275
2360,2105,2128,2545,3221,0.6
2275.5,2051.5,2094,2422,3088.5,0.204375
1984,1882,1968,2190,3102,0.08125
2168,2056,2120,2392,3139,0.5175
2017,1902,1996,2231,3061,0.420625
2327,2052,2105.5,2471.5,2988.5,0.3275
2132,1961,2030,2357,3113,0.520625
2249,2035,2091,2417,2902,0.825625
2158,1952,2063,2337,2985,0.535
2201,2049,2109,2392,3090,0.128125
2515,2263,2290,2646,3154,0.484375
3.75,1887,1967,2211,2996,0.44125
2303,2044,2094,2500,3159,0.1125
2357.5,2101,2127.5,2509,3244,0.416875
